"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"224","PA5040008","11073956001","S","13-MAY-11","SIB",NA,NA
"225","PA5040008","11073957001","S","13-MAY-11","SIE",NA,NA
"226","PA5040008","11104008006","S","14-JUN-11","SOX",NA,NA
"227","PA5040008","11292926016","S","14-SEP-11","SIA",NA,NA
"228","PA5040008","11292928016","S","14-SEP-11","SOX",NA,NA
"229","PA5040008","12073958001","S","02-NOV-11","SIF",NA,NA
"230","PA5040008","12073959001","S","02-NOV-11","SOX",NA,NA
"231","PA5040008","121373512002","S","23-JAN-12","SIA",NA,NA
"232","PA5040008","121373514002","S","23-JAN-12","SOX",NA,NA
"233","PA5040008","131089818001","S","05-FEB-13","SIA",NA,NA
"234","PA5040008","131089820001","S","05-FEB-13","SOX",NA,NA
"235","PA5040008","170883242001","S","17-FEB-17","SFJ",NA,NA
"236","PA5040008","170883243001","S","17-FEB-17","SIE",NA,NA
"237","PA5040008","170883244001","S","28-JUN-17","SOX",NA,NA
"238","PA5040008","172726142005","S","21-JUL-17","SIA",NA,NA
"239","PA5040008","172726144005","S","28-JUL-17","SOX",NA,NA
"240","PA5040008","174538536005","S","10-NOV-16","SIA",NA,NA
"241","PA5040008","174538537005","S","10-NOV-16","SFJ",NA,NA
"242","PA5040008","174538538005","S","10-NOV-16","SIE",NA,NA
"243","PA5040008","174538539005","S","28-NOV-16","SIF",NA,NA
"244","PA5040008","174538540005","S","28-NOV-16","SOX",NA,NA
"245","PA5040008","180883245001","S","12-SEP-18","SIF",NA,NA
"246","PA5040008","190833154001","S","04-FEB-19","SIA",NA,NA
"247","PA5040008","190833156001","S","29-MAR-19","SOX",NA,NA
